Save Your Soul,Joey Stylez
Hurt So Bad,Jaime Wyatt
Cover Me Up,Jason Isbell
Chess,Honey Country
Javalena,Red Shahan
Dear Rodeo,Cody Johnson
Break My Heart Sweetly,John Moreland
Restless Ways (in the bunkhouse),Gethen Jenkins
Hallelujah (Walker plays song for Beth),Ryan Bingham
To Keep From Being Found,Hayes Carll
Beat Me Down,Wade Bowen
The Light,Tanner Usrey
Peace in the Pines,Kolton Moore and The Clever Few
Happy Hour,Hayes Carll
Dance the Night Away,Shane Smith and the Saints
Alex,Shane Smith and the Saints
Fire in the Ocean,Shane Smith and the Saints
Whiskey Fever,Zach Bryan
Mule Skinner Blues,Dolly Parton
Shades of Gray,Robert Earl Keen
Cosmopolitan,Chris Hajian and Andrew Ezrin
Off the Wagon,Isaac Hoskins
Willie Nelson`s Wail,Vincent Neil Emmerson
Last Call,49 Winchester
Smell Like Smoke,Lainey Wilson
The Good I`ll Do,Zach Bryan
New Friends,Lainey Wilson
Intertwine,Senora May
Far from Home,Aubrie Seller
Hold My Halo,Lainey Wilson
Nobody Knows My Trouble,Ryan Bingham
Watermelon Moonshine,Lainey Wilson
One Good Decision,Cody Jinks
"Factories, Farms & Amphetamines",Myron Elkins
H-Town Turnaround,Isaac Hoskins
Wrong Side of the River,Myron Elkins
Mountain Song,Flatland Cavalry
Let It Out,L.A. Edwards
Motorcycle Drive By,Zach Bryan
Quittin` Time,Zach Bryan
Summertime Blues,Zach Bryan
Fast As You,Dwight Yoakam
Tishomingo,Zach Bryan
A Song and You,Will Boedeker and Colter Hampton
No Horse to Ride,Luke Grimes
No Reservations,Alex Williams
Songs to Keep You Warm,Flatland Cavalry
Night Herding Song,Colter Wall
Locomotive,Miranda Lambert
For a Long While,Colter Wall
Homesteady,Cleto Cordero
Temporary Town,Charles Wesley Godwin 
I Ain`t Living,Brent Cobb featuring Dani Rose
Highway Feet,Larry Fleet
Hard Livin`,Chris Stapleton
Sun Ain`t Even Gone Down Yet,Brothers Osborne
Down the Road Tonight,Hayes Carll
Still Raging,Jackson Dean
Make it Count,49 Winchester
Hard Working Man,Marcus King
Better Year,Sam Barber
